"cohort","age_group","gender","n","pct_of_total","mean_age","pct_urban","pct_literate","pct_happy","pct_disabled"
1,"65-70","men",850,51.7,67.6,42.8,79.6,57.1,96.7
1,"65-70","women",793,48.3,67.5,39.7,34,56.2,95.8
1,"65-70","all",1643,,67.6,41.3,57.6,56.7,96.3
1,"71-76","men",846,50.4,73.5,41.7,71.3,58.2,94.3
1,"71-76","women",831,49.6,73.5,40.1,27,56.1,92.5
1,"71-76","all",1677,,73.5,40.9,49.3,57.1,93.4
1,"77-82","men",907,51.4,79.8,42.9,66.9,58.5,86.9
1,"77-82","women",857,48.6,79.7,44,19,58.3,85.4
1,"77-82","all",1764,,79.8,43.4,43.7,58.4,86.2
1,"83-88","men",1109,50.6,85.3,47.3,67.8,58.6,80.3
1,"83-88","women",1082,49.4,85.4,52.6,18.1,58.5,72.8
1,"83-88","all",2191,,85.4,49.9,43.3,58.6,76.6
2,"65-70","men",422,56,68.3,37.4,82,59.5,95
2,"65-70","women",332,44,68.5,47.6,60.8,57.5,96.7
2,"65-70","all",754,,68.4,41.9,72.7,58.6,95.8
2,"71-76","men",729,53.2,73.5,48.7,78.5,56.5,92.9
2,"71-76","women",641,46.8,73.5,53.7,39.5,57.4,92.7
2,"71-76","all",1370,,73.5,51,60.2,56.9,92.8
2,"77-82","men",619,51.6,79.4,49.8,70.1,59.6,89.8
2,"77-82","women",581,48.4,79.5,50.3,24.4,60.8,86.9
2,"77-82","all",1200,,79.5,50,48,60.2,88.4
2,"83-88","men",739,51.5,85.3,51.6,62.2,56.8,81.9
2,"83-88","women",696,48.5,85.4,44.7,16.5,58.6,81.3
2,"83-88","all",1435,,85.3,48.2,40.1,57.7,81.6
